Player Name,Cities,Position,Season,Games Played,Minutes Played Per Game,Points Per Game,Average Field Goals made,Average Field Goals Attempted,Field Goal Percentage,Average 3-Point Field Goals Made,Average 3-Point Field Goals Attempted,3-Point Field Goal Percentage,Average Free Throws Made,Average Free Throws Attempted,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Double Double,Triple Double,Player Efficiency Rating
Shawn Marion,PHX,SG,2006,81,40.3,21.8,8.8,16.9,52.5,1.2,3.6,33.1,3,3.7,80.9,11.8,1.8,2,1.7,1.5,60,0,23.66
Kevin Garnett,MIN,PF,2006,76,38.9,21.8,8.2,15.7,52.6,0.1,0.4,26.7,5.2,6.4,81,12.7,4.1,1.4,1.4,2.4,62,0,26.88
Mike Bibby,SAC,PG,2006,82,38.6,21.1,7.3,16.9,43.2,2.3,6.1,38.6,4.2,4.9,84.9,2.9,5.4,1,0.1,2.4,8,0,17.93
Antawn Jamison,WSH,PF,2006,82,40.1,20.5,8,18.2,44.2,1.8,4.5,39.4,2.6,3.6,73.1,9.3,1.9,1.1,0.1,1.7,35,0,17.78
Pau Gasol,MEM,PF,2006,80,39.2,20.4,7.5,14.9,50.3,0,0.2,25,5.3,7.7,68.9,8.9,4.6,0.6,1.9,2.9,33,1,22.76
Mike James,TOR,PG,2006,79,37,20.3,7.3,15.5,46.9,2.1,4.8,44.2,3.6,4.3,83.7,3.3,5.8,0.9,0,2.6,11,0,19.88
Chris Webber,PHI,C,2006,75,38.6,20.2,8.2,19,43.4,0.3,1,27.3,3.5,4.6,75.6,9.9,3.4,1.4,0.8,2.4,38,0,18.47
Joe Johnson,ATL,G,2006,82,40.7,20.2,7.7,17,45.3,1.6,4.4,35.6,3.2,4,79.1,4.1,6.5,1.3,0.4,3.3,13,1,17.95
Richard Hamilton,DET,SG,2006,80,35.3,20.1,8.1,16.5,49.1,0.7,1.5,45.8,3.2,3.8,84.5,3.2,3.4,0.7,0.2,2.2,0,0,18.25
Rashard Lewis,SEA,PF,2006,78,36.9,20.1,6.9,14.8,46.7,1.8,4.7,38.4,4.5,5.5,81.8,5,2.3,1.3,0.6,1.8,5,0,20.04
Richard Jefferson,NJ,F,2006,78,39.2,19.5,6.3,12.9,49.3,0.8,2.4,31.9,6,7.4,81.2,6.8,3.8,0.8,0.2,2.2,20,0,19.02
Ricky Davis,BOS/MIN,SG,2006,78,41.1,19.4,7.5,16.7,44.8,0.9,3.1,30.2,3.5,4.4,79.7,4.5,5.1,1.2,0.2,2.7,3,0,15.64
Wally Szczerbiak,MIN/BOS,SG,2006,72,37.9,19,6.8,14.1,48.7,1.4,3.5,40,3.9,4.3,89.7,4.3,3,0.6,0.3,1.9,2,0,17.75
Tony Parker,SA,G,2006,80,33.9,18.9,7.8,14.2,54.8,0.1,0.5,30.6,3.2,4.5,70.7,3.3,5.8,1,0.1,3.1,8,0,20.89
Steve Nash,PHX,PG,2006,79,35.4,18.8,6.8,13.4,51.2,1.9,4.3,43.9,3.3,3.5,92.1,4.2,10.5,0.8,0.2,3.5,43,1,23.29
Al Harrington,ATL,PF,2006,76,36.6,18.6,7.3,16.1,45.2,0.9,2.5,34.6,3.2,4.6,69.4,6.9,3.1,1.1,0.2,2.6,15,0,16.08
Tim Duncan,SA,C,2006,80,34.8,18.6,7.2,14.8,48.4,0,0.1,40,4.2,6.7,62.9,11,3.2,0.9,2,2.5,52,0,23.13
Chauncey Billups,DET,PG,2006,81,36.1,18.5,5.2,12.5,41.8,2.3,5.2,43.3,5.7,6.4,89.4,3.1,8.6,0.9,0.1,2.1,27,0,23.43
Peja Stojakovic,SAC/IND,SF,2006,71,36.6,18.2,6.3,14.3,43.7,2.3,5.7,40.1,3.4,3.7,91.5,5.8,1.9,0.6,0.1,1.5,5,0,16.71
Zach Randolph,POR,F,2006,74,34.4,18,7.2,16.6,43.6,0.2,0.7,29.1,3.3,4.6,71.4,8,1.9,0.8,0.2,2.2,21,0,16.94
Mehmet Okur,UTAH,C,2006,82,35.9,18,6.3,13.8,46,1,2.9,34.2,4.3,5.5,78,9.1,2.4,0.5,0.9,2,35,0,19.08
Caron Butler,WSH,SF,2006,75,36.1,17.6,6.6,14.5,45.5,0.5,1.6,34.2,3.9,4.4,87,6.2,2.5,1.7,0.2,2.3,10,0,17.11
Sam Cassell,LAC,PG,2006,78,34,17.2,6.3,14.3,44.3,0.9,2.4,36.8,3.7,4.3,86.3,3.7,6.3,0.9,0.1,2.2,12,0,18.56
Jason Terry,DAL,G,2006,80,35,17.1,6.5,13.7,47,2.1,5.2,41.1,2.1,2.6,80,2,3.8,1.3,0.3,1.7,2,0,18.49
David West,NO,F,2006,74,34.1,17.1,7.2,14,51.2,0,0.1,27.3,2.7,3.2,84.3,7.4,1.2,0.8,0.9,1.4,17,0,19.74
Ben Gordon,CHI,SG,2006,80,31,16.9,6.1,14.4,42.2,2.1,4.8,43.5,2.6,3.4,78.7,2.7,3,0.9,0.1,2.3,0,0,14.59
Morris Peterson,TOR,SG,2006,82,38.3,16.8,5.8,13.4,43.6,2.2,5.5,39.5,2.9,3.6,82,4.6,2.3,1.3,0.2,1.5,3,0,15.34
Stephen Jackson,IND,SF,2006,81,35.9,16.4,5.8,14.2,41.1,1.4,4.2,34.5,3.3,4.2,78.6,3.9,2.8,1.3,0.5,2.5,0,0,13.65
Chris Paul,NO,PG,2006,78,36,16.1,5.2,12.1,43,0.6,2.3,28.2,5.1,6,84.7,5.1,7.8,2.2,0.1,2.3,21,2,22.14
Kirk Hinrich,CHI,SG,2006,81,36.5,15.9,5.6,13.3,41.8,1.6,4.2,37,3.2,3.9,81.5,3.6,6.3,1.2,0.3,2.3,11,0,15.56
Dwight Howard,ORL,C,2006,82,36.8,15.8,5.7,10.7,53.1,0,0,0,4.3,7.3,59.5,12.5,1.5,0.8,1.4,2.6,60,0,19.37
Zydrunas Ilgauskas,CLE,C,2006,78,29.3,15.6,5.8,11.4,50.6,0,0.1,0,4.1,4.9,83.4,7.6,1.2,0.5,1.7,2,18,0,21.98
Rasheed Wallace,DET,PF,2006,80,34.8,15.1,5.7,13.3,43,1.9,5.4,35.7,1.7,2.3,74.3,6.8,2.3,1,1.6,1.1,12,0,17.7
Brad Miller,SAC,C,2006,79,37,15,5.5,11.1,49.5,0.4,1.1,38.6,3.5,4.3,82.8,7.8,4.7,0.8,0.8,2.3,29,0,17.52
Hedo Turkoglu,ORL,SF,2006,78,33.5,14.9,5.1,11.2,45.4,1.5,3.6,40.3,3.3,3.8,86.1,4.3,2.8,0.9,0.3,1.7,1,0,16.8
Lamar Odom,LAL,PF,2006,80,40.3,14.8,5.6,11.6,48.1,1,2.7,37.2,2.7,3.9,69,9.2,5.5,0.9,0.8,2.7,29,2,17.02
Kobe Bryant,LAL,SF,2007,77,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10,86.8,5.7,5.4,1.4,0.5,3.3,10,0,26.13
Carmelo Anthony,DEN,PF,2007,65,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,6,3.8,1.2,0.4,3.6,4,1,22.2
Gilbert Arenas,WSH,PG,2007,74,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,4.6,6,1.9,0.2,3.2,10,0,24.07
LeBron James,CLE,SF,2007,78,40.9,27.3,9.9,20.8,47.6,1.3,4,31.9,6.3,9,69.8,6.7,6,1.6,0.7,3.2,16,1,24.56
Michael Redd,MIL,SG,2007,53,38.4,26.7,9,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,3.7,2.3,1.2,0.2,2.3,0,0,22.3
Ray Allen,SEA,SG,2007,55,40.3,26.4,9.2,21,43.8,3,8.1,37.2,5.1,5.6,90.3,4.5,4.1,1.5,0.2,2.8,4,0,21.7
Allen Iverson,PHI/DEN,SG,2007,65,42.5,26.3,8.9,20.2,44.3,1,3,31.5,7.5,9.4,79.5,3,7.2,1.9,0.2,4.1,17,0,19.61
Vince Carter,NJ,G,2007,82,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7,80.2,6,4.8,1,0.4,2.6,13,2,21.86
Joe Johnson,ATL,G,2007,57,41.4,25,9.4,20,47.1,2.1,5.5,38.1,4.1,5.5,74.8,4.2,4.4,1.1,0.2,3.1,2,0,19.56
Tracy McGrady,HOU,SG,2007,71,35.8,24.6,9,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,5.3,6.5,1.3,0.5,3,15,0,23.28
Dirk Nowitzki,DAL,F,2007,78,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,8.9,3.4,0.7,0.8,2.1,41,0,27.7
Zach Randolph,POR,F,2007,68,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,10.1,2.2,0.8,0.2,3.2,36,0,22.81
Chris Bosh,TOR,PF,2007,69,38.5,22.6,7.9,15.9,49.6,0.2,0.5,34.3,6.7,8.6,78.5,10.7,2.5,0.6,1.3,2.6,42,0,22.72
Kevin Garnett,MIN,PF,2007,76,39.4,22.4,8.4,17.6,47.6,0.2,0.7,21.4,5.5,6.6,83.5,12.8,4.1,1.2,1.7,2.7,66,3,24.2
Ben Gordon,CHI,SG,2007,82,33,21.4,7.4,16.3,45.5,1.9,4.6,41.3,4.6,5.4,86.4,3.1,3.6,0.8,0.2,3,0,0,18.31
Carlos Boozer,UTAH,PF,2007,74,34.6,20.9,8.7,15.6,56.1,0,0,0,3.4,5,68.5,11.7,3,0.9,0.3,2.6,53,0,24.11
Elton Brand,LAC,PF,2007,80,38.5,20.5,8.1,15.1,53.3,0,0,100,4.4,5.8,76.1,9.3,2.9,1,2.2,2.5,38,0,23.17
Amar'e Stoudemire,PHX,C,2007,82,32.8,20.4,7.4,12.9,57.5,0,0,0,5.6,7.1,78.1,9.6,1,1,1.3,2.8,46,0,23.15
Kevin Martin,SAC,SG,2007,80,35.2,20.2,6.3,13.3,47.3,1.6,4.2,38.1,6,7.1,84.4,4.3,2.2,1.2,0.1,1.7,2,0,20.12
Tim Duncan,SA,C,2007,80,34.1,20,7.7,14.1,54.6,0,0.1,11.1,4.5,7.1,63.7,10.6,3.4,0.8,2.4,2.8,45,0,26.2
Antawn Jamison,WSH,PF,2007,70,38,19.8,7.3,16.3,45,2,5.4,36.4,3.2,4.4,73.6,8,1.9,1.1,0.5,1.5,22,0,18.5
Richard Hamilton,DET,SG,2007,75,36.8,19.8,7.3,15.6,46.8,0.6,1.7,34.1,4.6,5.4,86.1,3.8,3.8,0.8,0.2,2.1,2,0,18.21
Eddy Curry,NY,C,2007,81,35.2,19.5,7.2,12.5,57.6,0,0,100,5,8.1,61.5,7,0.8,0.4,0.5,3.6,18,0,17.07
Josh Howard,DAL,SF,2007,70,35.1,18.9,7,15.4,45.9,1.3,3.4,38.5,3.5,4.2,82.7,6.8,1.8,1.2,0.8,1.8,13,0,20.02
Metta World Peace,SAC,SF,2007,70,37.7,18.8,6.5,14.9,44,1.3,3.7,35.8,4.4,5.9,74,6.5,3.4,2.1,0.6,2.1,11,0,18.59
Luol Deng,CHI,F,2007,82,37.5,18.8,7.7,14.9,51.7,0,0.1,14.3,3.4,4.4,77.7,7.1,2.5,1.2,0.6,1.9,17,0,18.79
Steve Nash,PHX,PG,2007,76,35.3,18.6,6.8,12.8,53.2,2.1,4.5,45.5,2.9,3.3,89.9,3.5,11.6,0.8,0.1,3.8,53,0,23.87
Tony Parker,SA,G,2007,77,32.5,18.6,7.4,14.2,52,0.2,0.5,39.5,3.6,4.5,78.3,3.2,5.5,1.1,0.1,2.5,5,0,21.46
Mike Miller,MEM,SG,2007,70,39.1,18.5,6.6,14.4,46,2.9,7.1,40.6,2.3,2.9,79.3,5.4,4.3,0.8,0.3,2.6,6,0,16.5
Andre Iguodala,PHI,SF,2007,76,40.3,18.2,5.8,13,44.7,0.6,2,31,5.9,7.3,82,5.7,5.7,2,0.4,3.4,7,3,18.18
Gerald Wallace,CHA,SF,2007,72,36.7,18.1,6.6,13.2,50.2,0.5,1.7,32.5,4.3,6.2,69.1,7.2,2.6,2,1,2.2,16,0,19.83
Leandro Barbosa,PHX,G,2007,80,32.7,18.1,6.6,13.9,47.6,2.4,5.5,43.4,2.5,2.9,84.5,2.7,4,1.2,0.2,1.8,5,0,18.49
Dwight Howard,ORL,C,2007,82,36.9,17.6,6.4,10.6,60.3,0,0,50,4.8,8.1,58.6,12.3,1.9,0.9,1.9,3.9,60,0,21.19
Mehmet Okur,UTAH,C,2007,80,33.3,17.6,6.1,13.3,46.2,1.6,4.2,38.4,3.7,4.8,76.5,7.2,2,0.5,0.5,1.6,21,0,18.19
Shawn Marion,PHX,SG,2007,80,37.6,17.5,7,13.4,52.4,1,3.2,31.7,2.5,3.1,81,9.8,1.7,2,1.5,1.4,37,0,20.87
Mike Bibby,SAC,PG,2007,82,34,17.1,5.7,14.2,40.4,2.1,5.9,36,3.5,4.2,83,3.2,4.7,1.1,0.1,2.4,2,0,16.07
Chauncey Billups,DET,PG,2007,70,36.2,17,5,11.6,42.7,1.6,4.5,34.5,5.5,6.2,88.3,3.4,7.2,1.2,0.2,2,16,0,21.38
Ricky Davis,MIN,SG,2007,81,37.3,17,6.2,13.4,46.5,1.5,3.8,39.7,3,3.5,83.9,3.9,4.8,1,0.3,2.6,2,0,15.97
Corey Maggette,LAC,SF,2007,75,30.5,16.9,4.9,10.8,45.4,0.2,0.9,20,6.9,8.4,82,5.9,2.8,0.9,0.2,2.7,9,0,18.67
Jason Terry,DAL,G,2007,81,35.1,16.7,6.3,13.1,48.4,2,4.6,43.8,2,2.5,80.4,2.9,5.2,1,0.2,1.9,6,0,18.97
Kirk Hinrich,CHI,SG,2007,80,35.5,16.6,5.9,13.3,44.8,1.8,4.2,41.5,3,3.6,83.5,3.4,6.3,1.3,0.3,2.4,10,0,17.09
Manu Ginobili,SA,G,2007,75,27.5,16.5,5.3,11.4,46.4,1.7,4.3,39.6,4.3,5,86,4.4,3.5,1.5,0.4,2.1,1,0,24.18
Monta Ellis,GS,SG,2007,77,34.3,16.5,6.2,13.1,47.5,0.5,1.9,27.3,3.5,4.6,76.3,3.2,4.1,1.7,0.3,2.9,2,0,15.06
Al Harrington,IND/GS,PF,2007,78,32.9,16.5,6.3,13.9,45.7,1.6,3.8,43.3,2.2,3.1,69.4,6.4,1.9,0.8,0.3,2.2,8,0,14.89
Josh Smith,ATL,PF,2007,72,36.8,16.4,6.1,13.8,43.9,0.5,2.1,25,3.7,5.4,69.3,8.6,3.3,1.4,2.9,3.2,32,0,18.39
Stephon Marbury,NY,PG,2007,74,37.1,16.4,5.3,12.9,41.5,1.7,4.7,35.7,4,5.2,76.9,2.9,5.4,1,0.1,2.4,0,0,15.36
Deron Williams,UTAH,PG,2007,80,36.9,16.2,6.2,13.5,45.6,1,3.2,32.2,2.8,3.7,76.7,3.3,9.3,1,0.2,3.1,30,0,17.15
Stephen Jackson,IND/GS,SF,2007,75,33.1,15.5,5.5,12.6,43.3,1.3,4.1,32.2,3.2,4,81.3,3,3.8,1.1,0.5,2.4,1,0,14.5
Larry Hughes,CLE,SG,2007,70,37.1,14.9,5.4,13.6,40,1.1,3.2,33.3,3,4.4,67.6,3.8,3.7,1.3,0.4,2.2,1,0,12.17
Ruben Patterson,MIL,PF,2007,81,31,14.7,5.9,10.7,54.8,0,0.2,15.8,3,4.6,64.1,5.4,2.9,1.4,0.3,2.5,10,0,18.6
LeBron James,CLE,SF,2008,75,40.4,30,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,7.9,7.2,1.8,1.1,3.4,31,7,29.15
Kobe Bryant,LAL,SF,2008,82,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9,84,6.3,5.4,1.8,0.5,3.1,20,0,24.09
Allen Iverson,DEN,SG,2008,82,41.8,26.4,8.7,19,45.8,1.2,3.4,34.5,7.9,9.7,80.9,3,7.1,2,0.1,3,15,0,21.06
Carmelo Anthony,DEN,PF,2008,77,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6,7.7,78.6,7.4,3.4,1.3,0.5,3.3,22,0,21.29
Amar'e Stoudemire,PHX,C,2008,79,33.9,25.2,9,15.3,59,0.1,0.4,16.1,7,8.7,80.5,9.1,1.5,0.8,2.1,2.2,36,0,27.29
Kevin Martin,SAC,SG,2008,61,36.3,23.7,6.8,15,45.6,1.8,4.4,40.2,8.2,9.5,86.9,4.5,2.1,1,0.1,2.1,2,0,21.51
Dirk Nowitzki,DAL,F,2008,77,36,23.6,8.2,17.1,47.9,1,2.9,35.9,6.2,7.1,87.9,8.6,3.5,0.7,0.9,2.1,25,1,24.78
Michael Redd,MIL,SG,2008,72,37.5,22.7,7.6,17.3,44.2,1.8,5,36.2,5.6,6.8,82,4.3,3.4,0.9,0.2,2.5,2,0,19.09
Richard Jefferson,NJ,F,2008,82,39,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,4.2,3.1,0.9,0.3,2.4,2,0,17.53
Chris Bosh,TOR,PF,2008,67,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40,7,8.3,84.4,8.7,2.6,0.9,1,2.3,28,0,24.23
Corey Maggette,LAC,SF,2008,70,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,5.6,2.7,1,0.1,2.8,6,0,19.14
Baron Davis,GS,PG,2008,82,39,21.8,7.9,18.6,42.6,2.1,6.4,33,3.9,5.2,75,4.7,7.6,2.3,0.5,2.8,18,3,19.85
Jason Richardson,CHA,SG,2008,82,38.4,21.8,7.9,17.9,44.1,3,7.3,40.6,3,4,75.2,5.4,3.1,1.4,0.7,2,5,0,18.6
Joe Johnson,ATL,G,2008,82,40.8,21.7,7.9,18.3,43.2,2.1,5.4,38.1,3.9,4.6,83.4,4.5,5.8,1,0.2,2.7,9,0,17.67
Tracy McGrady,HOU,SG,2008,66,37,21.6,8.3,19.8,41.9,1.3,4.5,29.2,3.7,5.4,68.4,5.1,5.9,1,0.5,2.4,5,1,18.6
Antawn Jamison,WSH,PF,2008,79,38.7,21.4,7.8,17.9,43.6,1.5,4.5,33.9,4.2,5.5,76,10.2,1.5,1.3,0.4,1.4,44,0,20.19
Vince Carter,NJ,G,2008,76,38.9,21.3,7.7,16.9,45.6,1.3,3.6,35.9,4.6,5.6,81.6,6,5.1,1.2,0.4,2.4,9,0,18.93
Carlos Boozer,UTAH,PF,2008,81,34.9,21.1,8.8,16,54.7,0,0,0,3.6,4.9,73.8,10.4,2.9,1.2,0.5,2.6,51,1,21.83
Chris Paul,NO,PG,2008,80,37.6,21.1,7.9,16.1,48.8,1.2,3.1,36.9,4.2,4.9,85.1,4,11.6,2.7,0.1,2.5,56,1,28.39
Al Jefferson,MIN,C,2008,82,35.6,21,8.8,17.6,50,0,0.1,0,3.5,4.8,72.1,11.1,1.4,0.9,1.5,2,55,0,22.84
Dwight Howard,ORL,C,2008,82,37.7,20.7,7.1,11.9,59.9,0,0,0,6.5,10.9,59,14.2,1.3,0.9,2.1,3.2,69,0,22.61
David West,NO,F,2008,76,37.8,20.6,8.3,17.2,48.2,0.1,0.3,24,3.9,4.6,85,8.9,2.3,0.8,1.3,2.2,29,0,19.98
Jamal Crawford,NY,G,2008,80,39.9,20.6,7.1,17.4,41,2.2,6.2,35.6,4.1,4.8,86.4,2.6,5,1,0.2,2.4,0,0,16.35
Kevin Durant,SEA,PF,2008,80,34.6,20.3,7.3,17.1,43,0.7,2.6,28.8,4.9,5.6,87.3,4.4,2.4,1,0.9,2.9,1,0,15.87
Monta Ellis,GS,SG,2008,81,37.9,20.2,8,15.1,53.1,0.1,0.6,23.1,4,5.1,76.7,5,3.9,1.5,0.3,2.1,5,0,18.92
Rudy Gay,MEM,SF,2008,81,37,20.1,7.7,16.7,46.1,1.7,4.8,34.6,3.1,3.9,78.5,6.2,2,1.4,1,2.3,10,0,17.34
Stephen Jackson,GS,SF,2008,73,39.1,20.1,6.7,16.5,40.5,2.5,6.9,36.3,4.2,5.1,83.2,4.4,4.1,1.3,0.4,2.7,1,0,14.94
Josh Howard,DAL,SF,2008,76,36.3,19.9,7.5,16.4,45.5,0.9,2.8,31.9,4.1,5.1,81.3,7,2.2,0.8,0.4,1.5,9,0,18.53
Andre Iguodala,PHI,SF,2008,82,39.5,19.9,7.1,15.6,45.6,1.2,3.7,32.9,4.5,6.2,72.1,5.4,4.8,2.1,0.6,2.6,8,0,19.09
Paul Pierce,BOS,SF,2008,80,35.9,19.6,6.4,13.7,46.4,1.8,4.6,39.2,5.1,6.1,84.3,5.1,4.5,1.3,0.5,2.8,7,0,19.85
Danny Granger,IND,SF,2008,80,36,19.6,6.7,15.1,44.6,2.1,5.3,40.4,4,4.7,85.2,6.1,2.1,1.2,1.1,2.1,7,0,16.66
Hedo Turkoglu,ORL,SF,2008,82,36.9,19.5,6.8,14.9,45.6,2,5.1,40,4,4.8,82.9,5.7,5,0.9,0.3,3,8,2,17.66
Manu Ginobili,SA,G,2008,74,31,19.5,6.1,13.3,46,2.1,5.3,40.1,5.1,6,86,4.8,4.5,1.5,0.4,2.7,5,0,24.07
Tim Duncan,SA,C,2008,78,34,19.3,7.5,15.1,49.7,0,0.1,0,4.3,5.9,73,11.3,2.8,0.7,1.9,2.3,53,0,24.05
Brandon Roy,POR,SG,2008,74,37.7,19.1,7.2,15.8,45.4,1,2.9,34,3.8,5,75.3,4.7,5.8,1.1,0.2,1.8,10,1,19.27
Mike Dunleavy,IND,SG,2008,82,36,19.1,6.5,13.6,47.6,2,4.7,42.4,4.1,4.9,83.4,5.2,3.5,1,0.4,2.3,5,0,17.27
Deron Williams,UTAH,PG,2008,82,37.3,18.8,6.9,13.6,50.7,1,2.6,39.5,4,5,80.3,3,10.5,1.1,0.3,3.4,52,0,20.75
Kevin Garnett,BOS,PF,2008,71,32.8,18.8,7.5,13.9,53.9,0,0.2,0,3.8,4.7,80.1,9.2,3.4,1.4,1.3,1.9,29,0,25.42
Ben Gordon,CHI,SG,2008,72,31.8,18.6,6.4,14.8,43.4,2,4.8,41,3.7,4.1,90.8,3.1,3,0.8,0.1,2.1,0,0,16.89
Rashard Lewis,ORL,PF,2008,81,38,18.2,6.4,14,45.5,2.8,6.8,40.9,2.7,3.2,83.8,5.4,2.4,1.2,0.5,1.7,1,0,16.54
LaMarcus Aldridge,POR,C,2008,76,34.9,17.8,7.4,15.3,48.4,0,0.1,14.3,3,3.9,76.2,7.6,1.6,0.7,1.2,1.7,19,0,18.32
Ray Allen,BOS,SG,2008,73,35.9,17.4,6,13.5,44.5,2.5,6.2,39.8,2.9,3.2,90.7,3.7,3.1,0.9,0.2,1.7,1,0,16.6
Richard Hamilton,DET,SG,2008,72,33.7,17.3,6.9,14.3,48.4,0.9,2,44,2.6,3.1,83.3,3.3,4.2,1,0.1,1.8,1,0,18.18
Josh Smith,ATL,PF,2008,81,35.5,17.2,6.4,14,45.7,0.3,1.2,25.3,4.1,5.8,71,8.2,3.4,1.5,2.8,3,19,1,19.32
Andre Miller,PHI,PG,2008,82,36.8,17,6.9,14.1,49.2,0,0.4,8.8,3.1,4.1,77.2,4,6.9,1.3,0.1,2.5,14,0,18.57
Chauncey Billups,DET,PG,2008,78,32.3,17,5,11.2,44.8,1.8,4.4,40.1,5.1,5.6,91.8,2.7,6.8,1.3,0.2,2.1,13,0,23.48
Steve Nash,PHX,PG,2008,81,34.3,16.9,6,11.9,50.4,2.2,4.7,47,2.7,3,90.6,3.5,11.1,0.7,0.1,3.6,48,0,21.04
Peja Stojakovic,NO,SF,2008,77,35.2,16.4,5.9,13.3,44,3,6.8,44.1,1.7,1.8,92.9,4.3,1.2,0.7,0.1,0.8,4,0,15.76
Mike Miller,MEM,SG,2008,70,35.3,16.4,5.9,11.8,50.2,2.2,5.1,43.2,2.3,3,77.4,6.7,3.4,0.5,0.2,2.6,13,0,16.07
Leandro Barbosa,PHX,G,2008,82,29.5,15.6,5.8,12.5,46.2,2,5.1,38.9,2.1,2.6,82.2,2.8,2.6,0.9,0.2,1.4,0,0,15.81
Dwyane Wade,MIA,G,2009,79,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,5,7.5,2.2,1.3,3.4,20,0,30.46
LeBron James,CLE,SF,2009,81,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,7.6,7.2,1.7,1.1,3,29,7,31.76
Kobe Bryant,LAL,SF,2009,82,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,5.2,4.9,1.5,0.5,2.6,8,2,24.46
Dirk Nowitzki,DAL,F,2009,81,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,8.4,2.4,0.8,0.8,1.9,26,0,23.2
Danny Granger,IND,SF,2009,67,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,5.1,2.7,1,1.4,2.5,6,0,21.88
Kevin Durant,OKC,PF,2009,74,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,6.5,2.8,1.3,0.7,3,15,0,20.85
Chris Paul,NO,PG,2009,78,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,5.5,11,2.8,0.1,3,50,6,30.04
Carmelo Anthony,DEN,PF,2009,66,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,6.8,3.4,1.1,0.4,3,12,0,19.09
Chris Bosh,TOR,PF,2009,77,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,10,2.5,0.9,1,2.3,43,0,22.19
Brandon Roy,POR,SG,2009,78,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,4.7,5.1,1.1,0.3,1.9,3,0,24.08
Antawn Jamison,WSH,PF,2009,81,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,8.9,1.9,1.2,0.3,1.5,38,0,20.63
Tony Parker,SA,G,2009,72,34.1,22,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5,78.2,3.1,6.9,0.9,0.1,2.6,15,0,23.47
Joe Johnson,ATL,G,2009,79,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,4.4,5.8,1.1,0.2,2.5,4,1,18.26
Devin Harris,NJ,G,2009,69,36.1,21.3,6.6,15.1,43.8,0.9,3.2,29.1,7.2,8.8,82,3.3,6.9,1.7,0.2,3.1,16,0,21.65
David West,NO,F,2009,76,39.2,21,8,17,47.2,0.1,0.3,24,4.8,5.5,88.4,8.5,2.3,0.6,0.9,2.1,29,0,19
Vince Carter,NJ,G,2009,80,36.8,20.8,7.4,16.8,43.7,1.9,4.9,38.5,4.2,5.1,81.7,5.1,4.7,1,0.5,2.1,8,1,19.35
Ben Gordon,CHI,SG,2009,82,36.6,20.7,7.3,16,45.5,2.1,5.1,41,4,4.7,86.4,3.5,3.4,0.9,0.3,2.4,0,0,17.02
Dwight Howard,ORL,C,2009,79,35.7,20.6,7.1,12.4,57.2,0,0,0,6.4,10.7,59.4,13.8,1.4,1,2.9,3,63,1,25.44
Paul Pierce,BOS,SF,2009,81,37.5,20.5,6.7,14.6,45.7,1.5,3.8,39.1,5.7,6.8,83,5.6,3.6,1,0.3,2.8,7,0,17.74
Al Harrington,GS/NY,PF,2009,73,34.9,20.1,7.3,16.6,43.9,2.3,6.4,36.4,3.2,4,79.3,6.2,1.4,1.2,0.3,2.2,10,0,15.98
Yao Ming,HOU,C,2009,77,33.6,19.7,7.4,13.4,54.8,0,0,100,4.9,5.7,86.6,9.9,1.8,0.4,1.9,3,38,0,22.74
